"name","age","gender","dimension","value"
"MEP",45,"Female","social",69.24
"MEP",52,"Female","political",33.95
"MEP",52,"Female","social",88.2
"MEP",49,"Female","political",38.6
"MEP",49,"Female","social",83.53
"MEP",76,"Female","political",40.47
"MEP",76,"Female","social",81.08
"MEP",63,"Female","political",36.28
"MEP",63,"Female","social",85.2
"MEP",54,"Female","political",56.74
"MEP",54,"Female","social",64.71
"MEP",54,"Male","political",27.44
"MEP",54,"Male","social",93.14
"MEP",61,"Male","political",40
"MEP",61,"Male","social",80.02
"MEP",51,"Male","political",35.35
"MEP",51,"Male","social",84.59
"MEP",48,"Male","political",33.49
"MEP",48,"Male","social",85.71
"MEP",46,"Male","political",25.12
"MEP",46,"Male","social",93.8
"MEP",48,"Male","political",33.02
"MEP",48,"Male","social",85.86
"MEP",37,"Male","political",48.84
"MEP",37,"Male","social",70
"MEP",36,"Female","political",26.98
"MEP",36,"Female","social",91.56
"MEP",73,"Male","political",27.91
"MEP",73,"Male","social",90.08
"MEP",45,"Female","political",34.88
"MEP",45,"Female","social",82.97
"MEP",39,"Male","political",29.3
"MEP",39,"Male","social",88
"MEP",54,"Female","political",41.4
"MEP",54,"Female","social",75.9
"MEP",48,"Female","political",57.21
"MEP",48,"Female","social",59.53
"MEP",58,"Female","political",40.93
"MEP",58,"Female","social",75.8
"MEP",31,"Female","political",17.21
"MEP",31,"Female","social",98.68
"MEP",51,"Male","political",48.84
"MEP",51,"Male","social",66.95
"MEP",62,"Female","political",60.93
"MEP",62,"Female","social",54.69
"MEP",38,"Female","political",21.4
"MEP",38,"Female","social",93.54
"MEP",40,"Female","political",21.86
"MEP",40,"Female","social",92.98
"MEP",36,"Male","political",40.47
"MEP",36,"Male","social",74.32
"MEP",55,"Male","political",50.23
"MEP",55,"Male","social",64.36
"MEP",53,"Male","political",33.02
"MEP",53,"Male","social",80.93
"MEP",45,"Male","political",55.35
"MEP",45,"Male","social",58.61
"MEP",45,"Female","political",29.3
"MEP",45,"Female","social",84.44
"MEP",28,"Female","political",32.56
"MEP",28,"Female","social",81.08
"MEP",45,"Female","political",34.42
"MEP",45,"Female","social",79.2
"MEP",47,"Female","political",40.93
"MEP",47,"Female","social",72.54
"MEP",44,"Male","political",40
"MEP",44,"Male","social",72.64
"MEP",64,"Male","political",29.3
"MEP",64,"Male","social",82.92
"MEP",64,"Male","political",26.05
"MEP",64,"Male","social",86.12
"MEP",48,"Female","political",31.16
"MEP",48,"Female","social",80.63
"MEP",36,"Male","political",45.12
"MEP",36,"Male","social",66.39
"MEP",37,"Male","political",32.09
"MEP",37,"Male","social",79.36
"MEP",56,"Male","political",45.12
"MEP",56,"Male","social",65.88
"MEP",52,"Male","political",25.58
"MEP",52,"Male","social",85.05
"MEP",49,"Female","political",33.95
"MEP",49,"Female","social",76.36
"MEP",45,"Female","political",35.81
"MEP",45,"Female","social",74.47
"MEP",68,"Male","political",35.81
"MEP",68,"Male","social",74.32
"MEP",68,"Male","political",53.37
"MEP",68,"Male","social",56.78
"MEP",32,"Female","political",50.7
"MEP",32,"Female","social",58.81
"MEP",49,"Female","political",37.21
"MEP",49,"Female","social",72.29
"MEP",48,"Female","political",53.95
"MEP",48,"Female","social",55.56
"MEP",57,"Female","political",33.02
"MEP",57,"Female","social",76.05
"MEP",40,"Female","political",46.51
"MEP",40,"Female","social",62.32
"MEP",60,"Female","political",47.44
"MEP",60,"Female","social",61.41
"MEP",38,"Female","political",34.42
"MEP",38,"Female","social",74.27
"MEP",50,"Male","political",47.91
"MEP",50,"Male","social",60.64
"MEP",40,"Female","political",30.7
"MEP",40,"Female","social",77.83
"MEP",39,"Male","political",35.81
"MEP",39,"Male","social",71.98
"MEP",47,"Female","political",27.91
"MEP",47,"Female","social",79.76
"MEP",37,"Male","political",40.93
"MEP",37,"Male","social",66.54
"MEP",36,"Male","political",25.12
"MEP",36,"Male","social",82.15
"MEP",35,"Female","political",31.63
"MEP",35,"Female","social",75.59
"MEP",64,"Female","political",46.98
"MEP",64,"Female","social",59.98
"MEP",68,"Male","political",33.49
"MEP",68,"Male","social",73.46
"MEP",68,"Male","political",21.86
"MEP",68,"Male","social",84.9
"MEP",62,"Male","political",44.65
"MEP",62,"Male","social",61.66
"MEP",65,"Female","political",36.28
"MEP",65,"Female","social",70
"MEP",44,"Male","political",34.42
"MEP",44,"Male","social",71.73
"MEP",42,"Female","political",20
"MEP",42,"Female","social",85.41
"MEP",56,"Female","political",36.98
"MEP",56,"Female","social",68.27
"MEP",67,"Female","political",33.49
"MEP",67,"Female","social",71.17
"MEP",69,"Male","political",31.16
"MEP",69,"Male","social",73.46
"MEP",39,"Female","political",16.28
"MEP",39,"Female","social",88.31
"MEP",65,"Male","political",35.81
"MEP",65,"Male","social",68.68
"MEP",49,"Female","political",33.02
"MEP",49,"Female","social",70.51
"MEP",35,"Male","political",21.4
"MEP",35,"Male","social",81.69
"MEP",47,"Male","political",34.42
"MEP",47,"Male","social",68.63
"MEP",68,"Female","political",37.21
"MEP",68,"Female","social",65.83
"MEP",81,"Male","political",27.44
"MEP",81,"Male","social",75.54
"MEP",41,"Male","political",19.07
"MEP",41,"Male","social",83.47
"MEP",48,"Female","political",70.7
"MEP",48,"Female","social",31.66
"MEP",51,"Female","political",32.09
"MEP",51,"Female","social",69.34
"MEP",45,"Male","political",28.84
"MEP",45,"Male","social",72.49
"MEP",52,"Female","political",32.09
"MEP",52,"Female","social",68.98
"MEP",66,"Male","political",27.91
"MEP",66,"Male","social",73.15
"MEP",71,"Female","political",56.28
"MEP",71,"Female","social",44.68
"MEP",41,"Male","political",20.47
"MEP",41,"Male","social",80.32
"MEP",41,"Female","political",27.44
"MEP",41,"Female","social",73.31
"MEP",46,"Female","political",51.16
"MEP",46,"Female","social",49.36
"MEP",52,"Female","political",27.91
"MEP",52,"Female","social",72.49
"MEP",49,"Male","political",26.98
"MEP",49,"Male","social",71.68
"MEP",34,"Female","political",25.12
"MEP",34,"Female","social",73.51
"MEP",54,"Female","political",40
"MEP",54,"Female","social",58.56
"MEP",58,"Female","political",40.47
"MEP",58,"Female","social",57.95
"MEP",51,"Male","political",27.44
"MEP",51,"Male","social",70.71
"MEP",42,"Male","political",26.98
"MEP",42,"Male","social",71.12
"MEP",51,"Female","political",36.74
"MEP",51,"Female","social",61.2
"MEP",56,"Female","political",39.07
"MEP",56,"Female","social",58.86
"MEP",75,"Male","political",24.65
"MEP",75,"Male","social",72.9
"MEP",69,"Male","political",22.79
"MEP",69,"Male","social",74.73
"MEP",38,"Female","political",41.86
"MEP",38,"Female","social",55.51
"MEP",63,"Male","political",13.49
"MEP",63,"Male","social",82.92
"MEP",51,"Female","political",13.95
"MEP",51,"Female","social",82.36
"MEP",60,"Male","political",14.42
"MEP",60,"Male","social",81.75
"MEP",41,"Male","political",17.21
"MEP",41,"Male","social",78.59
"MEP",55,"Male","political",13.95
"MEP",55,"Male","social",81.59
"MEP",23,"Female","political",20.47
"MEP",23,"Female","social",75.03
"MEP",54,"Male","political",35.35
"MEP",54,"Male","social",60.08
"MEP",72,"Female","political",25.81
"MEP",72,"Female","social",69.59
"MEP",60,"Male","political",53.02
"MEP",60,"Male","social",42.39
"MEP",38,"Male","political",14.42
"MEP",38,"Male","social",80.93
"MEP",31,"Female","political",33.49
"MEP",31,"Female","social",61.86
"MEP",50,"Female","political",24.65
"MEP",50,"Female","social",70.51
"MEP",47,"Female","political",34.42
"MEP",47,"Female","social",60.54
"MEP",58,"Male","political",27.44
"MEP",58,"Male","social",67.51
"MEP",54,"Female","political",41.86
"MEP",54,"Female","social",52.92
"MEP",34,"Female","political",23.26
"MEP",34,"Female","social",70.97
"MEP",65,"Male","political",40.93
"MEP",65,"Male","social",53.22
"MEP",61,"Male","political",31.16
"MEP",61,"Male","social",62.83
"MEP",50,"Female","political",29.3
"MEP",50,"Female","social",64.66
"MEP",45,"Female","political",34.88
"MEP",45,"Female","social",59.02
"MEP",46,"Male","political",22.33
"MEP",46,"Male","social",71.53
"MEP",73,"Female","political",21.86
"MEP",73,"Female","social",71.78
"MEP",52,"Male","political",34.88
"MEP",52,"Male","social",58.71
"MEP",48,"Female","political",30.7
"MEP",48,"Female","social",62.88
"MEP",32,"Female","political",37.21
"MEP",32,"Female","social",55.97
"MEP",45,"Female","political",30.23
"MEP",45,"Female","social",62.83
"MEP",55,"Male","political",42.33
"MEP",55,"Male","social",50.58
"MEP",45,"Male","political",15.81
"MEP",45,"Male","social",76.76
"MEP",52,"Female","political",17.21
"MEP",52,"Female","social",75.34
"MEP",34,"Female","political",35.35
"MEP",34,"Female","social",57.19
"MEP",42,"Male","political",40.47
"MEP",42,"Male","social",51.39
"MEP",47,"Female","political",33.02
"MEP",47,"Female","social",58.51
"MEP",66,"Male","political",15.81
"MEP",66,"Male","social",75.39
"MEP",45,"Female","political",34.42
"MEP",45,"Female","social",56.47
"MEP",49,"Female","political",30.23
"MEP",49,"Female","social",60.54
"MEP",73,"Male","political",5.58
"MEP",73,"Male","social",84.95
"MEP",49,"Male","political",30.7
"MEP",49,"Male","social",59.58
"MEP",58,"Male","political",31.63
"MEP",58,"Male","social",58.61
"MEP",62,"Female","political",35.81
"MEP",62,"Female","social",54.19
"MEP",33,"Male","political",19.53
"MEP",33,"Male","social",70.31
"MEP",43,"Male","political",12.56
"MEP",43,"Male","social",77.07
"MEP",41,"Female","political",9.77
"MEP",41,"Female","social",79.76
"MEP",58,"Female","political",46.51
"MEP",58,"Female","social",43
"MEP",69,"Male","political",25.58
"MEP",69,"Male","social",63.59
"MEP",35,"Male","political",22.33
"MEP",35,"Male","social",66.8
"MEP",60,"Female","political",33.49
"MEP",60,"Female","social",55.51
"MEP",29,"Male","political",19.53
"MEP",29,"Male","social",69.19
"MEP",56,"Male","political",36.28
"MEP",56,"Male","social",52.31
"MEP",63,"Male","political",10.23
"MEP",63,"Male","social",78.34
"MEP",51,"Female","political",19.53
"MEP",51,"Female","social",68.53
"MEP",46,"Male","political",9.3
"MEP",46,"Male","social",78.54
"MEP",47,"Male","political",26.05
"MEP",47,"Male","social",61.41
"MEP",52,"Male","political",47.91
"MEP",52,"Male","social",39.44
"MEP",75,"Male","political",51.63
"MEP",75,"Male","social",35.17
"MEP",48,"Male","political",19.07
"MEP",48,"Male","social",67.46
"MEP",85,"Male","political",17.67
"MEP",85,"Male","social",68.63
"MEP",50,"Female","political",30.7
"MEP",50,"Female","social",55.56
"MEP",60,"Male","political",46.51
"MEP",60,"Male","social",39.49
"MEP",49,"Female","political",36.74
"MEP",49,"Female","social",48.9
"MEP",65,"Male","political",40.93
"MEP",65,"Male","social",44.42
"MEP",39,"Male","political",25.12
"MEP",39,"Male","social",60.03
"MEP",55,"Female","political",32.56
"MEP",55,"Female","social",52.51
"MEP",63,"Male","political",27.44
"MEP",63,"Male","social",57.34
"MEP",45,"Male","political",36.28
"MEP",45,"Male","social",48.19
"MEP",45,"Female","political",15.35
"MEP",45,"Female","social",68.83
"MEP",54,"Female","political",21.4
"MEP",54,"Female","social",62.68
"MEP",59,"Female","political",30.23
"MEP",59,"Female","social",53.68
"MEP",42,"Female","political",7.44
"MEP",42,"Female","social",75.49
"MEP",66,"Male","political",23.72
"MEP",66,"Male","social",58.36
"MEP",50,"Female","political",30.23
"MEP",50,"Female","social",51.59
"MEP",44,"Female","political",42.33
"MEP",44,"Female","social",38.37
"MEP",46,"Male","political",20.93
"MEP",46,"Male","social",59.73
"MEP",58,"Female","political",25.12
"MEP",58,"Female","social",55.51
"MEP",57,"Male","political",20
"MEP",57,"Male","social",60.49
"MEP",60,"Male","political",44.42
"MEP",60,"Male","social",36.08
"MEP",63,"Male","political",20
"MEP",63,"Male","social",60.08
"MEP",26,"Male","political",5.58
"MEP",26,"Male","social",74.47
"MEP",43,"Female","political",14.88
"MEP",43,"Female","social",65.12
"MEP",65,"Male","political",2.33
"MEP",65,"Male","social",77.53
"MEP",39,"Female","political",24.19
"MEP",39,"Female","social",55.51
"MEP",42,"Female","political",7.91
"MEP",42,"Female","social",71.73
"MEP",67,"Female","political",13.95
"MEP",67,"Female","social",65.47
"MEP",58,"Female","political",34.42
"MEP",58,"Female","social",44.93
"MEP",71,"Female","political",33.49
"MEP",71,"Female","social",45.85
"MEP",53,"Male","political",31.63
"MEP",53,"Male","social",47.63
"MEP",57,"Male","political",20.47
"MEP",57,"Male","social",58.76
"MEP",36,"Male","political",23.72
"MEP",36,"Male","social",55.25
"MEP",41,"Female","political",30.7
"MEP",41,"Female","social",47.78
"MEP",34,"Female","political",13.49
"MEP",34,"Female","social",64.71
"MEP",66,"Male","political",23.26
"MEP",66,"Male","social",54.69
"MEP",35,"Male","political",18.6
"MEP",35,"Male","social",59.27
"MEP",41,"Female","political",21.4
"MEP",41,"Female","social",55.81
"MEP",70,"Male","political",9.77
"MEP",70,"Male","social",67.31
"MEP",39,"Male","political",43.72
"MEP",39,"Male","social",33.19
"MEP",65,"Female","political",28.37
"MEP",65,"Female","social",48.39
"MEP",56,"Male","political",31.16
"MEP",56,"Male","social",45.39
"MEP",55,"Male","political",16.28
"MEP",55,"Male","social",60.24
"MEP",60,"Male","political",39.07
"MEP",60,"Male","social",37.31
"MEP",63,"Male","political",39.07
"MEP",63,"Male","social",36.64
"MEP",56,"Male","political",16.28
"MEP",56,"Male","social",59.22
"MEP",53,"Female","political",33.02
"MEP",53,"Female","social",42.44
"MEP",58,"Female","political",32.09
"MEP",58,"Female","social",43.2
"MEP",52,"Male","political",29.77
"MEP",52,"Male","social",45.49
"MEP",54,"Female","political",23.72
"MEP",54,"Female","social",50.73
"MEP",71,"Female","political",20.47
"MEP",71,"Female","social",53.78
"MEP",58,"Male","political",32.09
"MEP",58,"Male","social",42.08
"MEP",58,"Male","political",66.98
"MEP",58,"Male","social",7.08
"MEP",45,"Male","political",15.81
"MEP",45,"Male","social",58.05
"MEP",55,"Male","political",32.09
"MEP",55,"Male","social",41.78
"MEP",64,"Male","political",18.14
"MEP",64,"Male","social",55.56
"MEP",35,"Female","political",26.05
"MEP",35,"Female","social",47.47
"MEP",58,"Female","political",26.51
"MEP",58,"Female","social",47.02
"MEP",37,"Female","political",27.91
"MEP",37,"Female","social",45.54
"MEP",41,"Male","political",49.77
"MEP",41,"Male","social",23.63
"MEP",52,"Male","political",12.33
"MEP",52,"Male","social",60.9
"MEP",48,"Male","political",40.47
"MEP",48,"Male","social",32.22
"MEP",36,"Male","political",19.53
"MEP",36,"Male","social",53.07
"MEP",48,"Male","political",24.19
"MEP",48,"Male","social",48.39
"MEP",48,"Male","political",29.77
"MEP",48,"Male","social",42.75
"MEP",49,"Female","political",32.09
"MEP",49,"Female","social",40.25
"MEP",40,"Male","political",28.84
"MEP",40,"Male","social",43.46
"MEP",68,"Male","political",22.79
"MEP",68,"Male","social",49.15
"MEP",58,"Male","political",18.6
"MEP",58,"Male","social",53.32
"MEP",53,"Female","political",16.28
"MEP",53,"Female","social",55.56
"MEP",52,"Male","political",29.3
"MEP",52,"Male","social",42.54
"MEP",45,"Male","political",17.67
"MEP",45,"Male","social",53.73
"MEP",37,"Female","political",19.53
"MEP",37,"Female","social",51.85
"MEP",58,"Male","political",35.81
"MEP",58,"Male","social",35.37
"MEP",65,"Male","political",11.16
"MEP",65,"Male","social",59.47
"MEP",45,"Female","political",36.74
"MEP",45,"Female","social",33.64
"MEP",51,"Female","political",21.86
"MEP",51,"Female","social",48.39
"MEP",27,"Female","political",35.35
"MEP",27,"Female","social",34.81
"MEP",60,"Female","political",17.67
"MEP",60,"Female","social",52.46
"MEP",56,"Male","political",38.14
"MEP",56,"Male","social",31.81
"MEP",51,"Male","political",24.19
"MEP",51,"Male","social",45.75
"MEP",61,"Male","political",33.49
"MEP",61,"Male","social",36.44
"MEP",59,"Male","political",33.49
"MEP",59,"Male","social",36.03
"MEP",49,"Male","political",26.51
"MEP",49,"Male","social",42.95
"MEP",51,"Male","political",46.51
"MEP",51,"Male","social",22.46
"MEP",41,"Male","political",35.81
"MEP",41,"Male","social",32.98
"MEP",35,"Female","political",28.84
"MEP",35,"Female","social",39.85
"MEP",65,"Male","political",34.77
"MEP",65,"Male","social",33.9
"MEP",42,"Female","political",16.28
"MEP",42,"Female","social",52.31
"MEP",49,"Female","political",36.28
"MEP",49,"Female","social",32.27
"MEP",38,"Male","political",2.33
"MEP",38,"Male","social",66.19
"MEP",58,"Male","political",50.7
"MEP",58,"Male","social",17.63
"MEP",42,"Male","political",40.93
"MEP",42,"Male","social",27.29
"MEP",47,"Male","political",33.02
"MEP",47,"Male","social",35.07
"MEP",74,"Male","political",26.98
"MEP",74,"Male","social",40.97
"MEP",42,"Male","political",39.07
"MEP",42,"Male","social",28.86
"MEP",36,"Male","political",19.53
"MEP",36,"Male","social",47.88
"MEP",42,"Male","political",19.53
"MEP",42,"Male","social",47.83
"MEP",57,"Male","political",14.88
"MEP",57,"Male","social",52.36
"MEP",46,"Male","political",27.91
"MEP",46,"Male","social",39.19
"MEP",33,"Male","political",19.53
"MEP",33,"Male","social",47.37
"MEP",60,"Male","political",10.7
"MEP",60,"Male","social",56.02
"MEP",40,"Male","political",20.93
"MEP",40,"Male","social",45.69
"MEP",60,"Male","political",43.72
"MEP",60,"Male","social",22.76
"MEP",69,"Male","political",46.05
"MEP",69,"Male","social",20.22
"MEP",32,"Female","political",33.95
"MEP",32,"Female","social",32.22
"MEP",73,"Male","political",36.74
"MEP",73,"Male","social",29.42
"MEP",53,"Female","political",20.93
"MEP",53,"Female","social",45.03
"MEP",54,"Male","political",6.98
"MEP",54,"Male","social",58.97
"MEP",47,"Female","political",7.91
"MEP",47,"Female","social",57.9
"MEP",35,"Female","political",12.56
"MEP",35,"Female","social",53.22
"MEP",41,"Male","political",18.14
"MEP",41,"Male","social",47.58
"MEP",34,"Female","political",12.56
"MEP",34,"Female","social",53.02
"MEP",55,"Male","political",19.07
"MEP",55,"Male","social",46.41
"MEP",65,"Male","political",38.14
"MEP",65,"Male","social",27.24
"MEP",36,"Male","political",32.09
"MEP",36,"Male","social",33.19
"MEP",35,"Male","political",20.47
"MEP",35,"Male","social",44.58
"MEP",30,"Female","political",19.53
"MEP",30,"Female","social",45.24
"MEP",69,"Female","political",26.51
"MEP",69,"Female","social",38.02
"MEP",69,"Male","political",23.26
"MEP",69,"Male","social",41.22
"MEP",43,"Male","political",11.63
"MEP",43,"Male","social",52.81
"MEP",54,"Male","political",30.7
"MEP",54,"Male","social",33.69
"MEP",55,"Male","political",10.7
"MEP",55,"Male","social",53.22
"MEP",33,"Female","political",26.98
"MEP",33,"Female","social",36.95
"MEP",57,"Female","political",10.7
"MEP",57,"Female","social",53.17
"MEP",51,"Female","political",16.74
"MEP",51,"Female","social",46.97
"MEP",47,"Male","political",25.12
"MEP",47,"Male","social",38.37
"MEP",77,"Male","political",27.91
"MEP",77,"Male","social",35.58
"MEP",58,"Male","political",27.44
"MEP",58,"Male","social",35.98
"MEP",57,"Male","political",51.63
"MEP",57,"Male","social",11.68
"MEP",65,"Male","political",0.93
"MEP",65,"Male","social",62.32
"MEP",52,"Male","political",25.12
"MEP",52,"Male","social",38.12
"MEP",46,"Female","political",35.81
"MEP",46,"Female","social",27.29
"MEP",37,"Male","political",21.86
"MEP",37,"Male","social",41.22
"MEP",42,"Female","political",31.16
"MEP",42,"Female","social",31.86
"MEP",68,"Female","political",10.7
"MEP",68,"Female","social",52.2
"MEP",60,"Female","political",34.42
"MEP",60,"Female","social",28.41
"MEP",59,"Male","political",7.91
"MEP",59,"Male","social",54.39
"MEP",42,"Male","political",39.07
"MEP",42,"Male","social",23.17
"MEP",62,"Male","political",32.09
"MEP",62,"Male","social",30.03
"MEP",29,"Female","political",18.14
"MEP",29,"Female","social",43.97
"MEP",56,"Female","political",26.98
"MEP",56,"Female","social",35.02
"MEP",43,"Male","political",26.51
"MEP",43,"Male","social",35.42
"MEP",58,"Female","political",17.67
"MEP",58,"Female","social",43.61
"MEP",46,"Male","political",14.88
"MEP",46,"Male","social",46.25
"MEP",56,"Male","political",19.53
"MEP",56,"Male","social",41.58
"MEP",46,"Female","political",41.86
"MEP",46,"Female","social",19
"MEP",73,"Male","political",38.6
"MEP",73,"Male","social",22.1
"MEP",69,"Male","political",42.79
"MEP",69,"Male","social",17.58
"MEP",58,"Male","political",27.91
"MEP",58,"Male","social",32.07
"MEP",38,"Male","political",27.44
"MEP",38,"Male","social",32.53
"MEP",66,"Female","political",38.14
"MEP",66,"Female","social",21.64
"MEP",43,"Male","political",56.28
"MEP",43,"Male","social",3.32
"MEP",57,"Female","political",13.95
"MEP",57,"Female","social",45.49
"MEP",49,"Female","political",21.86
"MEP",49,"Female","social",37.51
"MEP",49,"Female","political",26.51
"MEP",49,"Female","social",32.73
"MEP",39,"Male","political",23.72
"MEP",39,"Male","social",34.66
"MEP",33,"Male","political",34.88
"MEP",33,"Male","social",23.42
"MEP",49,"Male","political",24.65
"MEP",49,"Male","social",33.54
"MEP",49,"Male","political",23.26
"MEP",49,"Male","social",34.86
"MEP",32,"Female","political",27.91
"MEP",32,"Female","social",30.14
"MEP",67,"Female","political",44.65
"MEP",67,"Female","social",13.36
"MEP",45,"Female","political",12.56
"MEP",45,"Female","social",45.34
"MEP",54,"Male","political",27.44
"MEP",54,"Male","social",30.34
"MEP",42,"Male","political",23.26
"MEP",42,"Male","social",34.36
"MEP",44,"Male","political",6.05
"MEP",44,"Male","social",51.39
"MEP",59,"Male","political",0
"MEP",59,"Male","social",57.34
"MEP",64,"Female","political",23.26
"MEP",64,"Female","social",33.95
"MEP",40,"Male","political",25.12
"MEP",40,"Male","social",32.07
"MEP",62,"Male","political",30.7
"MEP",62,"Male","social",26.47
"MEP",66,"Male","political",33.02
"MEP",66,"Male","social",24.14
"MEP",62,"Female","political",23.26
"MEP",62,"Female","social",33.8
"MEP",64,"Female","political",25.12
"MEP",64,"Female","social",31.61
"MEP",32,"Male","political",26.98
"MEP",32,"Male","social",29.68
"MEP",55,"Male","political",28.14
"MEP",55,"Male","social",28.15
"MEP",37,"Female","political",19.53
"MEP",37,"Female","social",36.64
"MEP",69,"Female","political",30.23
"MEP",69,"Female","social",25.66
"MEP",45,"Male","political",13.02
"MEP",45,"Male","social",42.75
"MEP",55,"Male","political",14.88
"MEP",55,"Male","social",40.71
"MEP",39,"Male","political",48.84
"MEP",39,"Male","social",6.75
"MEP",63,"Male","political",24.19
"MEP",63,"Male","social",31.36
"MEP",39,"Male","political",46.98
"MEP",39,"Male","social",8.51
"MEP",38,"Male","political",12.09
"MEP",38,"Male","social",43.05
"MEP",58,"Male","political",28.37
"MEP",58,"Male","social",26.73
"MEP",31,"Female","political",19.53
"MEP",31,"Female","social",35.47
"MEP",57,"Female","political",17.67
"MEP",57,"Female","social",37.31
"MEP",41,"Male","political",36.74
"MEP",41,"Male","social",18.24
"MEP",64,"Female","political",5.12
"MEP",64,"Female","social",49.71
"MEP",34,"Female","political",17.67
"MEP",34,"Female","social",37.1
"MEP",43,"Male","political",34.88
"MEP",43,"Male","social",19.61
"MEP",58,"Male","political",34.42
"MEP",58,"Male","social",20.02
"MEP",56,"Male","political",18.14
"MEP",56,"Male","social",36.29
"MEP",58,"Male","political",32.56
"MEP",58,"Male","social",21.69
"MEP",58,"Female","political",34.42
"MEP",58,"Female","social",19.81
"MEP",53,"Female","political",19.53
"MEP",53,"Female","social",34.1
"MEP",53,"Female","political",16.74
"MEP",53,"Female","social",36.8
"MEP",62,"Male","political",37.21
"MEP",62,"Male","social",16
"MEP",58,"Male","political",53.02
"MEP",58,"Male","social",0
"MEP",50,"Female","political",19.53
"MEP",50,"Female","social",33.44
"MEP",60,"Male","political",20.23
"MEP",60,"Male","social",32.68
"MEP",55,"Male","political",19.53
"MEP",55,"Male","social",33.34
"MEP",52,"Male","political",19.53
"MEP",52,"Male","social",33.34
"MEP",51,"Male","political",23.26
"MEP",51,"Male","social",29.12
"MEP",48,"Female","political",16.28
"MEP",48,"Female","social",36.08
"MEP",58,"Male","political",12.56
"MEP",58,"Male","social",39.75
"MEP",45,"Male","political",24.65
"MEP",45,"Male","social",27.03
"MEP",52,"Female","political",29.3
"MEP",52,"Female","social",22.15
"MEP",43,"Female","political",27.91
"MEP",43,"Female","social",23.37
"MEP",50,"Male","political",26.98
"MEP",50,"Male","social",23.83
"MEP",50,"Male","political",19.53
"MEP",50,"Male","social",31.2
"MEP",55,"Male","political",33.02
"MEP",55,"Male","social",17.73
"MEP",62,"Female","political",39.07
"MEP",62,"Female","social",11.58
"MEP",49,"Female","political",34.42
