,fullName,country,politicalGroup,PoliticalInfluence,SocialInfluence,OverallInfluence
102,Pascal CANFIN,France,Renew Europe,35,48,42
103,Damien CARÊME,France,Greens/EFA,97,76,86
104,Andrea CAROPPO,Italy,EPP,92,99,96
105,Isabel CARVALHAIS,Portugal,S&D,45,48,46
106,Maria da Graça CARVALHO,Portugal,EPP,41,98,70
107,David CASA,Malta,EPP,94,35,64
108,Massimo CASANOVA,Italy,ID,92,15,54
109,Daniel CASPARY,Germany,EPP,95,42,68
110,Fabio Massimo CASTALDO,Italy,Non-attached Members,12,59,36
111,Pilar del CASTILLO VERA,Spain,EPP,79,90,84
112,Anna CAVAZZINI,Germany,Greens/EFA,6,45,26
113,Susanna CECCARDI,Italy,ID,46,86,66
114,Sara CERDAS,Portugal,S&D,32,37,34
115,Catherine CHABAUD,France,Renew Europe,74,30,52
116,Mohammed CHAHIM,Netherlands,S&D,16,68,42
117,Leila CHAIBI,France,GUE/NGL,29,92,60
118,Dita CHARANZOVÁ,Czechia,Renew Europe,6,19,12
119,Olivier CHASTEL,Belgium,Renew Europe,24,20,22
120,Caterina CHINNICI,Italy,S&D,98,56,77
121,Asger CHRISTENSEN,Denmark,Renew Europe,77,55,66
122,Lefteris CHRISTOFOROU,Cyprus,EPP,36,21,28
123,Ilana CICUREL,France,Renew Europe,46,74,60
124,Włodzimierz CIMOSZEWICZ,Poland,S&D,62,96,79
125,Angelo CIOCCA,Italy,ID,35,61,48
126,Dacian CIOLOŞ,Romania,Renew Europe,99,34,66
127,Tudor CIUHODARU,Romania,S&D,88,75,82
128,Deirdre CLUNE,Ireland,EPP,65,86,76
129,Nathalie COLIN-OESTERLÉ,France,EPP,5,5,5
130,Gilbert COLLARD,France,ID,41,84,62
131,Antoni COMÍN I OLIVERES,Spain,Non-attached Members,1,31,16
132,Rosanna CONTE,Italy,ID,29,4,16
133,David CORMAND,France,Greens/EFA,68,25,46
134,Ignazio CORRAO,Italy,Greens/EFA,50,81,66
135,Andrea COZZOLINO,Italy,S&D,42,100,71
136,Corina CREȚU,Romania,S&D,18,32,25
137,Katalin CSEH,Hungary,Renew Europe,12,6,9
138,Ciarán CUFFE,Ireland,Greens/EFA,26,81,54
139,Josianne CUTAJAR,Malta,S&D,46,92,69
140,Ryszard CZARNECKI,Poland,ECR,77,48,62
141,Peter van DALEN,Netherlands,EPP,88,65,76
142,Clare DALY,Ireland,GUE/NGL,98,98,98
143,Rosa D'AMATO,Italy,Greens/EFA,25,94,60
144,Johan DANIELSSON,Sweden,S&D,33,73,53
145,Arnaud DANJEAN,France,EPP,77,0,38
146,Nicola DANTI,Italy,Renew Europe,99,36,68
147,Gianantonio DA RE,Italy,ID,71,57,64
148,Margarita DE LA PISA CARRIÓN,Spain,ECR,77,27,52
149,Salvatore DE MEO,Italy,EPP,84,0,42
150,Paolo DE CASTRO,Italy,S&D,14,39,26
151,Jérémy DECERLE,France,Renew Europe,45,26,36
152,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,17,2,10
153,Andor DELI,Hungary,Non-attached Members,67,46,56
154,Karima DELLI,France,Greens/EFA,27,77,52
155,Özlem DEMIREL,Germany,GUE/NGL,49,94,72
156,Anna DEPARNAY-GRUNENBERG,Germany,Greens/EFA,41,97,69
157,Tamás DEUTSCH,Hungary,Non-attached Members,49,26,38
158,Geoffroy DIDIER,France,EPP,82,73,78
159,Martina DLABAJOVÁ,Czechia,Renew Europe,26,37,32
160,Klára DOBREV,Hungary,S&D,12,98,55
161,Christian DOLESCHAL,Germany,EPP,46,95,70
162,Anna Júlia DONÁTH,Hungary,Renew Europe,91,10,50
163,Francesca DONATO,Italy,ID,54,82,68
164,Herbert DORFMANN,Italy,EPP,88,20,54
165,Marco DREOSTO,Italy,ID,8,2,5
166,Jarosław DUDA,Poland,EPP,75,99,87
167,Lena DÜPONT,Germany,EPP,8,74,41
168,Estrella DURÁ FERRANDIS,Spain,S&D,6,69,38
169,Pascal DURAND,France,Renew Europe,0,1,0
170,Lucia ĎURIŠ NICHOLSONOVÁ,Slovakia,Renew Europe,98,5,52
171,Angel DZHAMBAZKI,Bulgaria,ECR,17,53,35
172,Christian EHLER,Germany,EPP,63,64,64
173,Bas EICKHOUT,Netherlands,Greens/EFA,26,67,46
174,Cyrus ENGERER,Malta,S&D,68,79,74
175,Cornelia ERNST,Germany,GUE/NGL,90,88,89
176,Engin EROGLU,Germany,Renew Europe,79,31,55
177,Ismail ERTUG,Germany,S&D,75,23,49
178,Rosa ESTARÀS FERRAGUT,Spain,EPP,28,14,21
179,Eleonora EVI,Italy,Greens/EFA,96,40,68
180,Agnès EVREN,France,EPP,28,24,26
181,Tanja FAJON,Slovenia,S&D,0,72,36
182,Gheorghe FALCĂ,Romania,EPP,38,67,52
183,Laurence FARRENG,France,Renew Europe,56,66,61
184,Markus FERBER,Germany,EPP,4,88,46
185,José Manuel FERNANDES,Portugal,EPP,59,32,46
186,Jonás FERNÁNDEZ,Spain,S&D,73,17,45
187,Giuseppe FERRANDINO,Italy,S&D,14,71,42
188,Laura FERRARA,Italy,Non-attached Members,83,12,48
189,Nicolaus FEST,Germany,ID,94,76,85
190,Carlo FIDANZA,Italy,ECR,82,30,56
191,Pietro FIOCCHI,Italy,ECR,68,5,36
192,Raffaele FITTO,Italy,ECR,24,12,18
193,Frances FITZGERALD,Ireland,EPP,17,50,34
194,Luke Ming FLANAGAN,Ireland,GUE/NGL,20,31,26
195,Valter FLEGO,Croatia,Renew Europe,80,32,56
196,Anna FOTYGA,Poland,ECR,33,73,53
197,Loucas FOURLAS,Cyprus,EPP,21,69,45
198,Emmanouil FRAGKOS,Greece,ECR,67,9,38
199,Tomasz FRANKOWSKI,Poland,EPP,59,85,72
200,Cindy FRANSSEN,Belgium,EPP,6,91,48
201,Romeo FRANZ,Germany,Greens/EFA,19,91,55
202,Daniel FREUND,Germany,Greens/EFA,27,32,30
203,Heléne FRITZON,Sweden,S&D,69,43,56
204,Niels FUGLSANG,Denmark,S&D,1,20,10
205,Mario FURORE,Italy,Non-attached Members,84,75,80
206,Søren GADE,Denmark,Renew Europe,9,14,12
207,Michael GAHLER,Germany,EPP,20,92,56
208,Lina GÁLVEZ MUÑOZ,Spain,S&D,89,13,51
209,Claudia GAMON,Austria,Renew Europe,77,32,54
210,Gianna GANCIA,Italy,ID,27,86,56
211,Ibán GARCÍA DEL BLANCO,Spain,S&D,90,70,80
212,José Manuel GARCÍA-MARGALLO Y MARFIL,Spain,EPP,93,31,62
213,Isabel GARCÍA MUÑOZ,Spain,S&D,73,21,47
214,Iratxe GARCÍA PÉREZ,Spain,S&D,57,33,45
215,Eider GARDIAZABAL RUBIAL,Spain,S&D,15,60,38
216,Luis GARICANO,Spain,Renew Europe,0,4,2
217,Jean-Paul GARRAUD,France,ID,64,50,57
218,Evelyne GEBHARDT,Germany,S&D,37,21,29
219,Alexandra GEESE,Germany,Greens/EFA,82,24,53
220,Jens GEIER,Germany,S&D,71,56,64
221,Chiara GEMMA,Italy,Non-attached Members,96,58,77
222,Giorgos GEORGIOU,Cyprus,GUE/NGL,12,58,35
223,Alexis GEORGOULIS,Greece,GUE/NGL,25,99,62
224,Vlad GHEORGHE,Romania,Renew Europe,92,85,88
225,Dino GIARRUSSO,Italy,Non-attached Members,79,16,48
226,Sven GIEGOLD,Germany,Greens/EFA,5,72,38
227,Sunčana GLAVAK,Croatia,EPP,90,84,87
228,Andreas GLÜCK,Germany,Renew Europe,46,77,62
229,Raphaël GLUCKSMANN,France,S&D,51,95,73
230,Charles GOERENS,Luxembourg,Renew Europe,93,88,90
231,Mónica Silvana GONZÁLEZ,Spain,S&D,68,45,56
232,Nicolás GONZÁLEZ CASARES,Spain,S&D,55,10,32
233,Esteban GONZÁLEZ PONS,Spain,EPP,6,4,5
234,Sandro GOZI,France,Renew Europe,84,59,72
235,Marcel de GRAAFF,Netherlands,ID,68,77,72
236,Valentino GRANT,Italy,ID,45,86,66
237,Maria GRAPINI,Romania,S&D,56,15,36
238,Markéta GREGOROVÁ,Czechia,Greens/EFA,21,14,18
239,Catherine GRISET,France,ID,20,21,20
240,Bart GROOTHUIS,Netherlands,Renew Europe,47,92,70
241,Klemen GROŠELJ,Slovenia,Renew Europe,23,33,28
242,Christophe GRUDLER,France,Renew Europe,21,34,28
243,Claude GRUFFAT,France,Greens/EFA,53,40,46
244,Elisabetta GUALMINI,Italy,S&D,4,14,9
245,Francisco GUERREIRO,Portugal,Greens/EFA,1,80,40
246,Bernard GUETTA,France,Renew Europe,13,5,9
247,Sylvie GUILLAUME,France,S&D,43,99,71
248,José GUSMÃO,Portugal,GUE/NGL,50,58,54
249,Jytte GUTELAND,Sweden,S&D,31,47,39
250,Márton GYÖNGYÖSI,Hungary,Non-attached Members,16,15,16
251,Enikő GYŐRI,Hungary,Non-attached Members,1,60,30
252,András GYÜRK,Hungary,Non-attached Members,28,72,50
253,Svenja HAHN,Germany,Renew Europe,43,40,42
254,Henrike HAHN,Germany,Greens/EFA,36,82,59
255,Robert HAJŠEL,Slovakia,S&D,59,74,66
256,Andrzej HALICKI,Poland,EPP,72,63,68
257,Christophe HANSEN,Luxembourg,EPP,23,57,40
258,Martin HÄUSLING,Germany,Greens/EFA,68,19,44
259,Heidi HAUTALA,Finland,Greens/EFA,19,11,15
260,Mircea-Gheorghe HAVA,Romania,EPP,72,24,48
261,Valérie HAYER,France,Renew Europe,97,34,66
262,Anja HAZEKAMP,Netherlands,GUE/NGL,47,82,64
263,Hannes HEIDE,Austria,S&D,3,69,36
264,Eero HEINÄLUOMA,Finland,S&D,14,19,16
265,Pierrette HERZBERGER-FOFANA,Germany,Greens/EFA,81,17,49
266,Krzysztof HETMAN,Poland,EPP,45,4,24
267,Balázs HIDVÉGHI,Hungary,Non-attached Members,62,30,46
268,Monika HOHLMEIER,Germany,EPP,47,41,44
269,Martin HOJSÍK,Slovakia,Renew Europe,74,31,52
270,Pär HOLMGREN,Sweden,Greens/EFA,82,33,58
271,György HÖLVÉNYI,Hungary,EPP,54,2,28
272,Alicia HOMS GINEL,Spain,S&D,20,24,22
273,Michiel HOOGEVEEN,Netherlands,ECR,72,28,50
274,Brice HORTEFEUX,France,EPP,52,32,42
275,Ivo HRISTOV,Bulgaria,S&D,95,31,63
276,Danuta Maria HÜBNER,Poland,EPP,35,29,32
277,Laura HUHTASAARI,Finland,ID,59,40,50
278,Jan HUITEMA,Netherlands,Renew Europe,93,1,47
279,Ivars IJABS,Latvia,Renew Europe,69,12,40
280,Ladislav ILČIĆ,Croatia,ECR,2,12,7
281,Evin INCIR,Sweden,S&D,70,10,40
282,Sophia IN 'T VELD,Netherlands,Renew Europe,83,19,51
283,Yannick JADOT,France,Greens/EFA,31,50,40
284,Peter JAHR,Germany,EPP,38,92,65
285,Stasys JAKELIŪNAS,Lithuania,Greens/EFA,63,32,48
286,Patryk JAKI,Poland,ECR,7,17,12
287,Jean-François JALKH,France,ID,13,45,29
288,France JAMET,France,ID,16,14,15
289,Lívia JÁRÓKA,Hungary,Non-attached Members,59,26,42
290,Adam JARUBAS,Poland,EPP,68,41,54
291,Romana JERKOVIĆ,Croatia,S&D,99,58,78
292,Agnes JONGERIUS,Netherlands,S&D,57,87,72
293,Virginie JORON,France,ID,4,84,44
294,Irena JOVEVA,Slovenia,Renew Europe,60,75,68
295,Rasa JUKNEVIČIENĖ,Lithuania,EPP,100,51,76
296,Krzysztof JURGIEL,Poland,ECR,2,44,23
297,Eugen JURZYCA,Slovakia,ECR,62,8,35
298,Herve JUVIN,France,ID,33,40,36
299,Eva KAILI,Greece,S&D,58,83,70
300,Jarosław KALINOWSKI,Poland,EPP,97,11,54
301,Marina KALJURAND,Estonia,S&D,88,75,82
302,Sandra KALNIETE,Latvia,EPP,40,38,39
303,Radan KANEV,Bulgaria,EPP,4,78,41
304,Assita KANKO,Belgium,ECR,91,24,58
305,Othmar KARAS,Austria,EPP,34,38,36
306,Pierre KARLESKIND,France,Renew Europe,58,39,48
307,Karin KARLSBRO,Sweden,Renew Europe,3,65,34
308,Karol KARSKI,Poland,ECR,39,16,28
309,Elsi KATAINEN,Finland,Renew Europe,61,53,57
310,Manolis KEFALOGIANNIS,Greece,EPP,23,25,24
311,Billy KELLEHER,Ireland,Renew Europe,98,40,69
312,Fabienne KELLER,France,Renew Europe,85,43,64
313,Ska KELLER,Germany,Greens/EFA,80,28,54
314,Seán KELLY,Ireland,EPP,16,49,32
315,Beata KEMPA,Poland,ECR,76,50,63
316,Niyazi KIZILYÜREK,Cyprus,GUE/NGL,49,97,73
317,Izabela-Helena KLOC,Poland,ECR,31,29,30
318,Ondřej KNOTEK,Czechia,Renew Europe,3,9,6
319,Peter KOFOD,Denmark,ID,41,28,34
320,Łukasz KOHUT,Poland,S&D,18,59,38
321,Arba KOKALARI,Sweden,EPP,2,73,38
322,Petros KOKKALIS,Greece,GUE/NGL,61,66,64
323,Marcel KOLAJA,Czechia,Greens/EFA,61,65,63
324,Mislav KOLAKUŠIĆ,Croatia,Non-attached Members,86,18,52
325,Kateřina KONEČNÁ,Czechia,GUE/NGL,24,6,15
326,Ewa KOPACZ,Poland,EPP,68,85,76
327,Joanna KOPCIŃSKA,Poland,ECR,51,1,26
328,Moritz KÖRNER,Germany,Renew Europe,88,45,66
329,Ádám KÓSA,Hungary,Non-attached Members,55,42,48
330,Stelios KOULOGLOU,Greece,GUE/NGL,75,18,46
331,Elena KOUNTOURA,Greece,GUE/NGL,53,97,75
332,Ondřej KOVAŘÍK,Czechia,Renew Europe,54,54,54
333,Andrey KOVATCHEV,Bulgaria,EPP,49,80,64
334,Maximilian KRAH,Germany,ID,72,34,53
335,Zdzisław KRASNODĘBSKI,Poland,ECR,34,54,44
336,Constanze KREHL,Germany,S&D,65,90,78
337,Elżbieta KRUK,Poland,ECR,80,69,74
338,Andrius KUBILIUS,Lithuania,EPP,23,38,30
339,Alice KUHNKE,Sweden,Greens/EFA,83,52,68
340,Joachim KUHS,Germany,ID,89,39,64
341,Miapetra KUMPULA-NATRI,Finland,S&D,8,9,8
342,Zbigniew KUŹMIUK,Poland,ECR,14,84,49
343,Stelios KYMPOUROPOULOS,Greece,EPP,16,96,56
344,Georgios KYRTSOS,Greece,EPP,62,4,33
345,Ilhan KYUCHYUK,Bulgaria,Renew Europe,72,1,36
346,Jean-Lin LACAPELLE,France,ID,93,95,94
347,Sergey LAGODINSKY,Germany,Greens/EFA,54,82,68
348,Ioannis LAGOS,Greece,Non-attached Members,59,76,68
349,Aurore LALUCQ,France,S&D,15,76,46
350,Philippe LAMBERTS,Belgium,Greens/EFA,12,82,47
351,Danilo Oscar LANCINI,Italy,ID,52,61,56
352,Bernd LANGE,Germany,S&D,90,83,86
353,Esther de LANGE,Netherlands,EPP,42,14,28
354,Katrin LANGENSIEPEN,Germany,Greens/EFA,40,50,45
355,Hélène LAPORTE,France,ID,70,60,65
356,Pierre LARROUTUROU,France,S&D,57,20,38
357,Gilles LEBRETON,France,ID,57,58,58
358,Julie LECHANTEUX,France,ID,68,10,39
359,David LEGA,Sweden,EPP,8,9,8
360,Ryszard Antoni LEGUTKO,Poland,ECR,61,46,54
361,Maria-Manuel LEITÃO-MARQUES,Portugal,S&D,75,43,59
362,Jeroen LENAERS,Netherlands,EPP,59,0,30
363,Janusz LEWANDOWSKI,Poland,EPP,45,75,60
364,Miriam LEXMANN,Slovakia,EPP,44,22,33
365,Bogusław LIBERADZKI,Poland,S&D,89,100,94
366,Peter LIESE,Germany,EPP,26,59,42
367,Sylvia LIMMER,Germany,ID,84,6,45
368,Norbert LINS,Germany,EPP,19,17,18
369,Elena LIZZI,Italy,ID,25,7,16
370,Nathalie LOISEAU,France,Renew Europe,35,24,30
371,Morten LØKKEGAARD,Denmark,Renew Europe,98,34,66
372,Javi LÓPEZ,Spain,S&D,100,78,89
373,Juan Fernando LÓPEZ AGUILAR,Spain,S&D,74,99,86
374,Leopoldo LÓPEZ GIL,Spain,EPP,1,52,26
375,Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,EPP,41,46,44
376,César LUENA,Spain,S&D,99,85,92
377,Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,EPP,62,82,72
378,Benoît LUTGEN,Belgium,EPP,8,34,21
379,David McALLISTER,Germany,EPP,54,17,36
380,Chris MACMANUS,Ireland,GUE/NGL,57,71,64
381,Jaak MADISON,Estonia,ID,85,31,58
382,Cristina MAESTRE MARTÍN DE ALMAGRO,Spain,S&D,24,72,48
383,Pierfrancesco MAJORINO,Italy,S&D,9,61,35
384,Aušra MALDEIKIENĖ,Lithuania,EPP,18,71,44
385,Adriana MALDONADO LÓPEZ,Spain,S&D,26,28,27
386,Claudiu MANDA,Romania,S&D,91,26,58
387,Antonius MANDERS,Netherlands,EPP,26,23,24
388,Lukas MANDL,Austria,EPP,15,61,38
389,Thierry MARIANI,France,ID,65,76,70
390,Marian-Jean MARINESCU,Romania,EPP,49,64,56
391,Colm MARKEY,Ireland,EPP,3,95,49
392,Erik MARQUARDT,Germany,Greens/EFA,4,62,33
393,Margarida MARQUES,Portugal,S&D,27,41,34
394,Pedro MARQUES,Portugal,S&D,27,25,26
395,Fulvio MARTUSCIELLO,Italy,EPP,52,91,72
396,Marisa MATIAS,Portugal,GUE/NGL,52,96,74
397,Predrag Fred MATIĆ,Croatia,S&D,87,24,56
398,Gabriel MATO,Spain,EPP,60,28,44
399,Sara MATTHIEU,Belgium,Greens/EFA,47,9,28
400,Emmanuel MAUREL,France,GUE/NGL,47,73,60
401,Costas MAVRIDES,Cyprus,S&D,46,18,32
402,Radka MAXOVÁ,Czechia,S&D,29,85,57
403,Eva MAYDELL,Bulgaria,EPP,61,31,46
404,Georg MAYER,Austria,ID,96,46,71
405,Beata MAZUREK,Poland,ECR,45,11,28
406,Nora MEBAREK,France,S&D,57,12,34
407,Vangelis MEIMARAKIS,Greece,EPP,44,42,43
408,Dace MELBĀRDE,Latvia,ECR,30,76,53
409,Karen MELCHIOR,Denmark,Renew Europe,95,21,58
410,Joëlle MÉLIN,France,ID,98,93,96
411,Nuno MELO,Portugal,EPP,66,23,44
412,Roberta METSOLA,Malta,EPP,71,19,45
413,Tilly METZ,Luxembourg,Greens/EFA,17,84,50
414,Jörg MEUTHEN,Germany,ID,80,94,87
415,Martina MICHELS,Germany,GUE/NGL,52,95,74
416,Iskra MIHAYLOVA,Bulgaria,Renew Europe,42,75,58
417,Sven MIKSER,Estonia,S&D,23,69,46
418,Giuseppe MILAZZO,Italy,ECR,74,62,68
419,Francisco José MILLÁN MON,Spain,EPP,82,44,63
420,Leszek MILLER,Poland,S&D,30,6,18
421,Alin MITUȚA,Romania,Renew Europe,64,84,74
422,Silvia MODIG,Finland,GUE/NGL,92,6,49
423,Cláudia MONTEIRO DE AGUIAR,Portugal,EPP,64,36,50
424,Dolors MONTSERRAT,Spain,EPP,6,40,23
425,Nadine MORANO,France,EPP,59,47,53
426,Javier MORENO SÁNCHEZ,Spain,S&D,67,93,80
427,Alessandra MORETTI,Italy,S&D,39,15,27
428,Dan-Ştefan MOTREANU,Romania,EPP,27,61,44
429,Ulrike MÜLLER,Germany,Renew Europe,7,64,36
430,Siegfried MUREŞAN,Romania,EPP,49,45,47
431,Caroline NAGTEGAAL,Netherlands,Renew Europe,34,21,28
432,Victor NEGRESCU,Romania,S&D,64,53,58
433,Hannah NEUMANN,Germany,Greens/EFA,68,99,84
434,Angelika NIEBLER,Germany,EPP,82,89,86
435,Luděk NIEDERMAYER,Czechia,EPP,18,58,38
436,Niklas NIENASS,Germany,Greens/EFA,59,89,74
437,Ville NIINISTÖ,Finland,Greens/EFA,28,20,24
438,Maria NOICHL,Germany,S&D,42,66,54
439,Ljudmila NOVAK,Slovenia,EPP,45,66,56
440,Andrey NOVAKOV,Bulgaria,EPP,55,57,56
441,Janina OCHOJSKA,Poland,EPP,53,50,52
442,Jan-Christoph OETJEN,Germany,Renew Europe,11,45,28
443,Jan OLBRYCHT,Poland,EPP,62,95,78
444,Juozas OLEKAS,Lithuania,S&D,65,60,62
445,Philippe OLIVIER,France,ID,26,33,30
446,Younous OMARJEE,France,GUE/NGL,76,74,75
447,Grace O'SULLIVAN,Ireland,Greens/EFA,81,89,85
448,Urmas PAET,Estonia,Renew Europe,35,47,41
449,Maite PAGAZAURTUNDÚA,Spain,Renew Europe,8,58,33
450,Alessandro PANZA,Italy,ID,82,75,78
451,Demetris PAPADAKIS,Cyprus,S&D,46,76,61
452,Kostas PAPADAKIS,Greece,Non-attached Members,45,33,39
453,Dimitrios PAPADIMOULIS,Greece,GUE/NGL,63,47,55
454,Aldo PATRICIELLO,Italy,EPP,23,15,19
455,Jutta PAULUS,Germany,Greens/EFA,73,73,73
456,Piernicola PEDICINI,Italy,Greens/EFA,32,72,52
457,Mauri PEKKARINEN,Finland,Renew Europe,84,88,86
458,Mikuláš PEKSA,Czechia,Greens/EFA,57,9,33
459,Anne-Sophie PELLETIER,France,GUE/NGL,73,1,37
460,Tsvetelina PENKOVA,Bulgaria,S&D,95,37,66
461,Sandra PEREIRA,Portugal,GUE/NGL,65,44,54
462,Lídia PEREIRA,Portugal,EPP,39,71,55
463,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,96,100,98
464,Morten PETERSEN,Denmark,Renew Europe,48,28,38
465,Pina PICIERNO,Italy,S&D,19,60,40
466,Tonino PICULA,Croatia,S&D,71,83,77
467,Markus PIEPER,Germany,EPP,16,73,44
468,Sirpa PIETIKÄINEN,Finland,EPP,59,59,59
469,Sabrina PIGNEDOLI,Italy,Non-attached Members,86,71,78
470,João PIMENTA LOPES,Portugal,GUE/NGL,14,34,24
471,Manu PINEDA,Spain,GUE/NGL,14,78,46
472,Maxette PIRBAKAS,France,ID,89,85,87
473,Giuliano PISAPIA,Italy,S&D,89,86,88
474,Dragoş PÎSLARU,Romania,Renew Europe,57,57,57
